Country,Year,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%),Temp_Deviation,CO2_per_million,Renewable_Ratio,Forest_Category,Latitude,Longitude
Argentina,2000,16.9,3.9,4.0,2047.0,564877556.0,15.5,11.0,18.4,-2.961541666666669,2203.0224684,0.155,Low,-34.9964963,-64.9672817
Argentina,2001,21.975,12.600000000000001,3.175,2306.25,835770157.25,23.45,4.5,23.2,2.113458333333334,10530.70398135,0.2345,Low,-34.9964963,-64.9672817
Argentina,2002,20.950000000000003,15.100000000000001,2.1,1190.5,778623458.5,18.9,8.5,41.0,1.0884583333333353,11757.21422335,0.18899999999999997,Medium,-34.9964963,-64.9672817
Argentina,2003,10.0,16.5,1.3,626.0,1211429158.0,21.9,13.0,17.2,-9.861541666666668,19988.581107,0.21899999999999997,Low,-34.9964963,-64.9672817
Argentina,2004,12.600000000000001,5.3,1.75,1353.0,928702111.5,23.7,0.5,43.5,-7.261541666666666,4922.12119095,0.237,Medium,-34.9964963,-64.9672817
Argentina,2005,14.283333333333333,9.549999999999999,2.9333333333333336,1738.1666666666667,866439171.1666666,21.283333333333335,6.833333333333333,39.86666666666667,-5.578208333333334,8274.494084641665,0.21283333333333335,Medium,-34.9964963,-64.9672817
Argentina,2006,22.75,12.075000000000001,3.675,1426.75,759524025.0,34.125,9.25,46.875,2.8884583333333325,9171.252601875,0.34125,Medium,-34.9964963,-64.9672817
Argentina,2007,7.7,19.9,1.6,918.0,203114192.0,16.9,10.0,58.7,-12.161541666666668,4041.9724208,0.16899999999999998,High,-34.9964963,-64.9672817
Argentina,2008,20.759999999999998,8.8,3.2,1574.8,955282066.0,36.3,8.2,36.239999999999995,0.8984583333333305,8406.482180800002,0.363,Medium,-34.9964963,-64.9672817
Argentina,2009,17.766666666666666,6.933333333333334,3.483333333333333,1769.3333333333333,728025145.0,22.733333333333334,6.666666666666667,46.06666666666666,-2.094875000000002,5047.641005333334,0.22733333333333333,Medium,-34.9964963,-64.9672817
Argentina,2010,15.2,7.7,2.2,1449.5,634993236.0,19.3,7.0,42.5,-4.661541666666668,4889.4479172,0.193,Medium,-34.9964963,-64.9672817
Argentina,2012,20.950000000000003,8.35,2.5,667.0,688300017.5,21.45,7.5,16.85,1.0884583333333353,5747.305146125,0.2145,Low,-34.9964963,-64.9672817
Argentina,2013,27.32,9.120000000000001,3.5,1443.0,909123895.4,24.720000000000002,8.0,30.9,7.458458333333333,8291.209926048,0.24720000000000003,Medium,-34.9964963,-64.9672817
Argentina,2014,26.366666666666664,14.533333333333333,3.1,2289.0,815849504.3333334,14.899999999999999,2.0,51.36666666666667,6.505124999999996,11857.012796311112,0.149,High,-34.9964963,-64.9672817
Argentina,2015,20.7,12.8,4.3,2761.0,455823356.0,50.0,3.0,19.4,0.8384583333333318,5834.5389568,0.5,Low,-34.9964963,-64.9672817
Argentina,2016,14.2,12.399999999999999,3.45,1807.5,874105140.0,25.5,2.5,48.05,-5.661541666666668,10838.903735999998,0.255,Medium,-34.9964963,-64.9672817
Argentina,2018,28.96666666666667,14.333333333333334,4.466666666666666,2085.3333333333335,531545300.6666667,39.86666666666667,5.333333333333333,43.03333333333333,9.105125000000001,7618.815976222223,0.39866666666666667,Medium,-34.9964963,-64.9672817
Argentina,2019,19.033333333333335,6.266666666666667,2.5333333333333337,1873.0,866661274.6666666,31.599999999999998,8.333333333333334,54.73333333333333,-0.8282083333333325,5431.077321244444,0.316,High,-34.9964963,-64.9672817
Argentina,2020,9.566666666666666,11.233333333333334,3.5,1365.6666666666667,751301180.6666666,31.900000000000002,5.333333333333333,51.199999999999996,-10.294875000000001,8439.616596155556,0.319,High,-34.9964963,-64.9672817
Argentina,2021,15.933333333333332,9.866666666666667,3.0,1949.3333333333333,429658307.6666667,31.733333333333334,2.0,25.900000000000002,-3.9282083333333357,4239.295302311111,0.31733333333333336,Medium,-34.9964963,-64.9672817
Argentina,2022,17.45,9.799999999999999,3.25,1415.5,821009718.0,19.75,6.5,27.6,-2.4115416666666682,8045.895236399999,0.1975,Medium,-34.9964963,-64.9672817
Argentina,2023,20.633333333333333,12.283333333333333,3.5666666666666664,2165.0,511798904.8333333,35.916666666666664,8.833333333333334,39.800000000000004,0.7717916666666653,6286.596547702778,0.35916666666666663,Medium,-34.9964963,-64.9672817
Australia,2000,11.933333333333335,10.466666666666667,2.2666666666666666,2033.3333333333333,831776454.0,25.566666666666666,9.666666666666666,58.13333333333333,-7.928208333333332,8705.9268852,0.25566666666666665,High,-24.7761086,134.755
Australia,2001,18.9,9.5,3.45,1666.0,667315454.0,25.0,6.5,40.55,-0.961541666666669,6339.496813,0.25,Medium,-24.7761086,134.755
Australia,2002,23.025,8.9,2.9,1804.25,524479760.25,24.725,7.75,35.875,3.163458333333331,4667.869866225001,0.24725000000000003,Medium,-24.7761086,134.755
Australia,2003,22.400000000000002,13.4,3.1999999999999997,2330.0,652846865.3333334,23.766666666666666,4.666666666666667,43.86666666666667,2.5384583333333346,8748.147995466667,0.23766666666666666,Medium,-24.7761086,134.755
Australia,2004,14.62,7.68,2.2800000000000002,1196.6,666948750.8,20.8,6.4,38.96,-5.241541666666668,5122.166406143999,0.20800000000000002,Medium,-24.7761086,134.755
Australia,2005,34.4,4.0,4.8,2014.0,748486965.0,15.6,9.0,67.1,14.538458333333331,2993.94786,0.156,High,-24.7761086,134.755
Australia,2006,20.4,1.8,3.6,773.0,174232548.0,39.6,0.0,26.3,0.538458333333331,313.6185864,0.396,Medium,-24.7761086,134.755
Australia,2008,19.200000000000003,8.5,3.0,1753.5,1224480892.5,32.6,7.5,37.7,-0.6615416666666647,10408.08758625,0.326,Medium,-24.7761086,134.755
Australia,2010,21.833333333333332,3.966666666666667,3.8333333333333335,2313.0,791472737.3333334,20.533333333333335,6.333333333333333,43.26666666666667,1.9717916666666646,3139.5085247555558,0.20533333333333334,Medium,-24.7761086,134.755
Australia,2011,18.16,12.08,3.1,1933.4,932632948.6,34.42,4.4,40.6,-1.7015416666666674,11266.206019088002,0.3442,Medium,-24.7761086,134.755
Australia,2012,17.05,4.6499999999999995,3.8499999999999996,1727.0,704103146.0,25.200000000000003,7.0,57.05,-2.811541666666667,3274.0796288999995,0.252,High,-24.7761086,134.755
Australia,2014,27.2,2.0,3.9,589.0,761742932.0,34.8,14.0,37.2,7.338458333333332,1523.485864,0.348,Medium,-24.7761086,134.755
Australia,2015,6.2,1.5,3.2,2271.0,428326345.0,49.8,6.0,17.0,-13.661541666666668,642.4895175,0.498,Low,-24.7761086,134.755
Australia,2016,21.4,13.475,4.125,1347.0,687765937.5,26.5,7.25,35.0,1.538458333333331,9267.6460078125,0.265,Medium,-24.7761086,134.755
Australia,2017,26.35,5.15,1.8,1180.0,751876856.5,10.05,3.0,37.65,6.488458333333334,3872.1658109750006,0.1005,Medium,-24.7761086,134.755
Australia,2018,18.675,11.7,2.725,1254.75,1072034224.25,18.6,3.25,30.725,-1.1865416666666668,12542.800423724999,0.18600000000000003,Medium,-24.7761086,134.755
Australia,2019,19.96,7.359999999999999,2.82,2322.2,324317574.6,33.12,10.8,42.18,0.09845833333333331,2386.9773490559996,0.3312,Medium,-24.7761086,134.755
Australia,2020,20.35,9.350000000000001,3.625,1269.75,859997201.0,21.55,6.25,39.375,0.4884583333333339,8040.973829350001,0.2155,Medium,-24.7761086,134.755
Australia,2021,24.9,4.9,4.1,2911.0,281959311.0,45.8,1.0,68.3,5.038458333333331,1381.6006239,0.45799999999999996,High,-24.7761086,134.755
Australia,2022,18.333333333333332,11.833333333333334,3.966666666666667,1660.3333333333333,663524844.0,19.0,9.666666666666666,44.666666666666664,-1.5282083333333354,7851.710654,0.19,Medium,-24.7761086,134.755
Australia,2023,11.5,9.2,2.3,1910.0,1010451727.0,15.5,5.0,24.4,-8.361541666666668,9296.155888399999,0.155,Low,-24.7761086,134.755
Brazil,2000,31.2,14.6,3.7,803.0,255339962.0,28.3,9.0,21.7,11.338458333333332,3727.9634452,0.28300000000000003,Low,-10.3333333,-53.2
